LAC  ,CELLID   
25349,33102
25349,3161
25349,3123
54268,40683
25349,33261
54268,40682
25349,3122
25349,33081
54268,40653
25349,33083
25349,3982
25349,33262
54268,40512
25349,3641
25349,33092
25349,3522
25349,25551
25349,3521
25349,3863
25349,3333
25349,3993
25349,3331
25349,3051
25349,3052
25349,3241
25618,33251
25618,3873
25618,3671
25618,3871
25349,3683
25618,3872
25349,3992
25349,3991
25349,3994
25618,3971
25349,33073
25349,3142
54268,40692
25349,3682
25349,3181
25618,3591
25349,3761
25618,3172
54268,40492
54268,40271
25618,33051
25618,3252
25349,3763
25618,3441
25618,33052
54268,40422
25349,3342
25349,33223
25349,33222
54268,40211
25618,33322
25618,3032
54268,40112
25618,3351
25618,3071
25618,3512
25618,50042
25349,3753
25349,33444
25349,33441
25618,3503
25349,33443
25349,33162
54268,40372
25618,33361
25618,3013
54268,40163
25349,33442
25618,3791
54268,40151
54268,40181
25618,3012
25618,33343
54268,40162
54268,40103
25618,3793
54268,40153
54268,40183
25618,3563
54268,40143
25349,33241
54268,40473
25618,33333
54268,40093
25618,33362
25618,33341
25618,3023
25618,3561
25618,3567
54268,40582
54268,40101
54268,40043
54268,40141
25618,3792
54268,40152
54268,40182
54268,40133
54268,40251
25618,3202
54268,40502
25348,3213
25349,3752
25618,3062
54268,40062
25618,33331
54268,40091
25618,33342
25618,3022
25618,3061
54268,40061
54268,40102
54268,40042
54268,40571
54268,40573
25618,3021
25618,3783
54268,40581
54268,40041
54268,40023
54268,40022
25618,3782
25618,33332
54268,40092
54268,40191
25349,3751
54268,40131
25618,3568
25618,3562
54268,40142
25348,44041
25618,3501
54268,40572
54268,40543
25349,33201
54268,40403
25349,3111
54268,40542
25618,3383
54268,40033
25349,3152
25618,3413
25618,33409
25618,3771
54268,40541
25618,3381
54268,40031
25618,33408
25618,3773
25618,3411
54268,40643
25349,3113
54268,40703
25618,33397
54268,40231
25618,3382
54268,40553
54268,40551
25618,3412
25349,3401
25349,33271
25618,44152
25618,44153
25618,44151
54268,40032
25618,3772
25349,3953
54268,40483
25349,3112
54268,40702
25618,3541
25349,3547
25618,3542
25618,3543
54268,40232
25349,3952
54268,40482
25348,33003
25349,3723
54268,40773
25348,3662
25348,3131
25348,33002
25349,3472
25348,3191
25348,3192
54268,40202
25349,3233
25348,3802
54268,43542
25349,33212
25349,3231
54268,40341
54268,40073
25348,50091
54268,40071
54268,40072
25349,33211
25348,3712
25348,2743
25348,3841
25348,32821
25348,3301
54254,37003
25619,38301
25619,38302
25348,2343
25619,2153
54254,36723
25619,2152
54254,36722
25619,21111
25619,32133
54254,36583
21533,2863
25619,21362
25619,2732
54254,37112
25619,2274
21533,21292
25348,21493
21533,2861
25619,2562
25619,38192
54254,35653
21533,2357
21533,32121
21525,35357
25348,2521
54254,36541
25619,2621
25619,35881
25348,2211
54254,36731
54254,35673
54254,36732
25619,21271
54254,35292
25348,2531
25348,32002
21533,38321
54254,36741
25619,21373
21533,35157
21533,35523
54254,36742
54254,35101
25619,35811
21533,35159
54254,35103
21533,35348
21533,21311
21533,35179
54254,36602
54254,35371
54254,35201
54254,35123
21533,35681
21533,35862
54254,36771
21533,35522
21533,38373
21533,35519
54254,36173
54254,36353
21533,35521
21533,21313
21533,35217
54254,36171
54254,35203
54254,35953
21533,35742
21533,38371
21533,35329
54254,35372
54254,36293
21533,35158
21533,35317
21533,35319
54254,35102
54254,36333
21533,35863
54254,36773
54254,36772
21533,35177
54254,35121
21533,35163
54254,35903
25619,21372
54254,36291
21533,35861
21533,2013
21533,35518
21533,2011
21533,35122
54254,36352
54254,36331
54254,35073
54254,35602
25348,35241
21533,38372
21533,21312
21533,35328
21533,35121
54254,36172
54254,35202
54254,36292
54254,35951
54254,35071
21533,35178
21273,38293
54254,35122
21533,35318
21533,2012
21533,32613
54254,36332
54254,35013
54254,35952
54254,35072
54254,35603
21533,38242
21533,35953
21273,38291
21273,2103
54254,35443
21273,35857
21273,35189
54254,35352
54254,35133
54254,35503
54254,35891
21273,2101
54254,35441
21533,32611
54254,35601
54254,35011
54254,36593
21533,38233
21533,38231
21533,32111
21533,2502
54254,36873
54254,35353
21273,35203
54254,35143
21273,38292
21273,35187
54254,35131
21273,2102
21273,35338
21273,35201
21273,16859
54254,35442
54254,35523
54254,35132
21273,35188
54254,35331
21273,35858
21273,35872
54254,35351
21273,16857
54254,35521
25619,2272
21273,35859
21273,35202
54254,35141
54254,35142
21273,2491
54254,35332
54254,35271
21273,16858
21273,2043
54254,35522
54254,35821
54254,35153
54254,36023
21273,2493
21273,32537
21273,32531
54254,36592
54254,35273
54254,35281
21273,35192
21273,45553
21273,38361
54254,35912
54254,36341
21273,38362
54254,36342
21273,35763
54254,36533
54254,35283
21273,2492
54254,35272
21273,2041
54254,35151
54254,36021
21273,35761
54254,36531
21273,2033
54254,35213
21273,2042
54254,35152
21273,35849
21273,35762
54254,36532
21273,35847
54254,36022
54254,36403
21273,21287
21273,21289
21273,21281
54254,35191
21273,21283
54254,35193
21749,35103
54271,35713
21273,35713
54254,35453
21273,35711
54254,35451
21273,35221
54254,36402
54254,35991
21273,22031
21273,2031
54254,35211
21273,38092
21273,38098
21533,2771
21273,35848
54254,36401
54254,35853
54254,36663
21533,35412
21273,35712
54254,35452
21533,35622
54254,36632
21273,32521
25348,21082
54254,36662
21273,38091
21273,38097
21273,35251
54254,35851
54254,36281
54271,37282
25348,35111
54254,35473
21752,38332
21273,37124
21273,35507
21273,35508
21273,35509
54271,36371
54033,36271
54033,36272
54033,36273
54033,36274
54033,36275
54033,36276
54033,36301
54033,36302
54033,36303
54033,36304
54033,36305
54033,36306
54033,36311
54033,36312
54033,36313
54033,36314
54033,36315
54033,36316
54033,36321
54033,36322
54033,36324
